"day" "doy" "date" "year" "cpue" "ccpue" "p.ccpue"
67 218 "8/6" 1986 0 201.08 1
68 219 "8/7" 1986 0 201.08 1
69 220 "8/8" 1986 0 201.08 1
70 221 "8/9" 1986 0 201.08 1
71 222 "8/10" 1986 0 201.08 1
72 223 "8/11" 1986 0 201.08 1
73 224 "8/12" 1986 0 201.08 1
74 225 "8/13" 1986 0 201.08 1
75 226 "8/14" 1986 0 201.08 1
76 227 "8/15" 1986 0 201.08 1
77 228 "8/16" 1986 0 201.08 1
78 229 "8/17" 1986 0 201.08 1
79 230 "8/18" 1986 0 201.08 1
80 231 "8/19" 1986 0 201.08 1
81 232 "8/20" 1986 0 201.08 1
82 233 "8/21" 1986 0 201.08 1
83 234 "8/22" 1986 0 201.08 1
84 235 "8/23" 1986 0 201.08 1
85 236 "8/24" 1986 0 201.08 1
1 152 "6/1" 1987 0 0 0
2 153 "6/2" 1987 0 0 0
3 154 "6/3" 1987 0 0 0
4 155 "6/4" 1987 0 0 0
5 156 "6/5" 1987 5.095238095 5.095238095 0.008754969
6 157 "6/6" 1987 3.293233083 8.388471178 0.014413616
7 158 "6/7" 1987 4.505776637 12.89424782 0.022155734
8 159 "6/8" 1987 16.35271318 29.246961 0.050254027
9 160 "6/9" 1987 9.123185544 38.37014654 0.065930076
10 161 "6/10" 1987 20.45628625 58.82643279 0.101079395
11 162 "6/11" 1987 17.75507175 76.58150454 0.131587312
12 163 "6/12" 1987 21.81177565 98.39328019 0.16906572
13 164 "6/13" 1987 13.44517755 111.8384577 0.192168097
14 165 "6/14" 1987 20.97407942 132.8125372 0.228207122
15 166 "6/15" 1987 10.07803257 142.8905697 0.245523851
16 167 "6/16" 1987 11.16883117 154.0594009 0.264714862
17 168 "6/17" 1987 53.77005348 207.8294544 0.357106058
18 169 "6/18" 1987 14.05717256 221.8866269 0.381260004
19 170 "6/19" 1987 12.985482 234.8721089 0.403572502
20 171 "6/20" 1987 18.39066753 253.2627765 0.435172541
21 172 "6/21" 1987 23.3653998 276.6281763 0.475320488
22 173 "6/22" 1987 29.66320412 306.2913804 0.52628973
23 174 "6/23" 1987 26.4497188 332.7410992 0.571737354
24 175 "6/24" 1987 9.105005023 341.8461042 0.587382164
25 176 "6/25" 1987 37.55718746 379.4032917 0.651915362
26 177 "6/26" 1987 20.34622241 399.7495141 0.686875562
27 178 "6/27" 1987 25.47583163 425.2253457 0.730649789
28 179 "6/28" 1987 14.58139535 439.8067411 0.755704489
29 180 "6/29" 1987 18.44585952 458.2526006 0.787399362
30 181 "6/30" 1987 12.28958171 470.5421823 0.808516119
31 182 "7/1" 1987 15.37384244 485.9160247 0.834932453
32 183 "7/2" 1987 9.473684211 495.3897089 0.851210752
33 184 "7/3" 1987 3.038461538 498.4281705 0.856431634
34 185 "7/4" 1987 8.038461538 506.466632 0.87024384
35 186 "7/5" 1987 6.56545545 513.0320875 0.881525032
36 187 "7/6" 1987 9.041702922 522.0737904 0.897061073
37 188 "7/7" 1987 14.61560776 536.6893982 0.922174559
38 189 "7/8" 1987 0 536.6893982 0.922174559
39 190 "7/9" 1987 1.304347826 537.993746 0.924415774
40 191 "7/10" 1987 3.05764411 541.0513901 0.929669616
41 192 "7/11" 1987 2.222222222 543.2736123 0.933487983
42 193 "7/12" 1987 2.162162162 545.4357745 0.93720315
43 194 "7/13" 1987 2.352941176 547.7887156 0.941246126
44 195 "7/14" 1987 1.111111111 548.8998268 0.94315531
45 196 "7/15" 1987 0 548.8998268 0.94315531
46 197 "7/16" 1987 0 548.8998268 0.94315531
47 198 "7/17" 1987 2.550803503 551.4506303 0.947538266
48 199 "7/18" 1987 0 551.4506303 0.947538266
49 200 "7/19" 1987 14.45352512 565.9041554 0.972373251
50 201 "7/20" 1987 0.930232558 566.8343879 0.973971637
51 202 "7/21" 1987 2.105263158 568.9396511 0.977589037
52 203 "7/22" 1987 0 568.9396511 0.977589037
53 204 "7/23" 1987 3.365079365 572.3047305 0.983371134
54 205 "7/24" 1987 0 572.3047305 0.983371134
55 206 "7/25" 1987 0 572.3047305 0.983371134
56 207 "7/26" 1987 0 572.3047305 0.983371134
57 208 "7/27" 1987 4.210526316 576.5152568 0.990605934
58 209 "7/28" 1987 0 576.5152568 0.990605934
59 210 "7/29" 1987 0 576.5152568 0.990605934
60 211 "7/30" 1987 0 576.5152568 0.990605934
61 212 "7/31" 1987 0 576.5152568 0.990605934
62 213 "8/1" 1987 0 576.5152568 0.990605934
63 214 "8/2" 1987 0 576.5152568 0.990605934
64 215 "8/3" 1987 1.142857143 577.6581139 0.992569665
65 216 "8/4" 1987 0 577.6581139 0.992569665
66 217 "8/5" 1987 0 577.6581139 0.992569665
67 218 "8/6" 1987 0 577.6581139 0.992569665
68 219 "8/7" 1987 2.162162162 579.8202761 0.996284833
69 220 "8/8" 1987 0 579.8202761 0.996284833
70 221 "8/9" 1987 0 579.8202761 0.996284833
71 222 "8/10" 1987 0 579.8202761 0.996284833
72 223 "8/11" 1987 2.162162162 581.9824382 1
73 224 "8/12" 1987 0 581.9824382 1
74 225 "8/13" 1987 0 581.9824382 1
75 226 "8/14" 1987 0 581.9824382 1
76 227 "8/15" 1987 0 581.9824382 1
77 228 "8/16" 1987 0 581.9824382 1
78 229 "8/17" 1987 0 581.9824382 1
79 230 "8/18" 1987 0 581.9824382 1
80 231 "8/19" 1987 0 581.9824382 1
81 232 "8/20" 1987 0 581.9824382 1
82 233 "8/21" 1987 0 581.9824382 1
